0.00;0.00;0.00;0.00;0.00;
0.00;0.00;0.00;0.00;0.00;
0.00;0.00;0.00;0.00;0.00;
0.00;0.00;0.00;0.02;0.00;
0.00;0.00;0.00;0.01;0.01;
0.01;0.02;0.01;0.00;0.01;
0.00;0.02;0.02;0.01;0.02;
0.02;0.03;0.02;0.03;0.03;
0.04;0.03;0.03;0.02;0.01;
0.05;0.04;0.05;0.02;0.04;
0.03;0.06;0.04;0.05;0.01;
0.05;0.06;0.05;0.14;0.05;
0.08;0.07;0.06;0.06;0.01;
0.05;0.26;0.07;0.03;0.03;
0.20;0.02;0.09;0.18;0.04;
0.09;0.05;0.12;0.13;0.03;
0.11;0.10;0.08;0.10;0.14;
0.14;0.11;0.15;0.11;0.17;
0.17;0.10;0.18;0.59;0.19;
0.10;0.21;0.12;0.08;0.04;
0.20;0.20;0.24;0.04;0.23;
0.08;0.25;0.07;0.14;0.03;
0.27;0.27;0.18;0.20;0.26;
0.05;0.06;0.30;0.24;0.19;
0.11;0.34;0.16;0.28;0.35;
0.29;0.31;0.14;0.32;0.16;
0.30;0.15;0.35;0.01;0.28;
0.36;0.36;0.00;0.42;0.25;
0.36;0.17;0.14;0.32;0.00;
0.37;0.43;0.41;0.16;0.31;
0.33;0.34;0.30;0.40;0.31;
0.21;0.47;0.37;0.34;0.43;
0.36;0.37;0.47;0.25;0.03;
0.42;0.11;0.42;0.39;0.37;
0.48;0.35;0.44;0.52;0.57;
0.18;0.60;0.23;0.57;0.06;
0.58;0.48;0.43;0.57;0.61;
0.37;0.52;0.63;0.26;0.67;
0.23;0.64;0.50;0.55;0.44;
0.72;0.02;0.59;0.73;0.63;
0.65;0.28;0.90;0.92;0.50;
0.50;0.59;0.71;0.73;0.59;
0.91;0.43;0.68;0.12;0.91;
0.14;0.75;0.18;0.54;0.31;
0.16;0.90;0.29;0.83;0.84;
0.95;0.60;0.94;0.54;0.32;
0.03;0.58;0.30;0.93;0.58;
0.92;0.05;0.74;0.81;0.93;
1.00;1.00;0.30;1.08;1.12;
0.87;0.73;1.00;0.06;0.78;
1.04;1.02;1.04;0.92;0.94;
1.10;1.16;0.84;0.41;0.16;
0.46;0.24;1.14;1.13;0.81;
0.77;0.48;1.04;1.24;1.10;
1.16;1.31;1.27;0.59;1.30;
0.58;0.91;1.25;0.16;1.12;
1.18;1.09;0.79;1.35;1.41;
1.48;0.64;1.15;0.24;1.39;
1.51;0.02;0.80;1.51;0.37;
0.23;1.40;0.52;1.38;1.30;
0.93;1.71;0.54;1.45;1.54;
1.58;1.62;1.06;0.38;1.23;
1.63;1.60;0.26;1.39;0.42;
0.91;0.56;1.55;0.32;1.45;
1.29;1.74;1.78;1.32;1.65;
1.17;1.63;1.21;0.77;0.66;
0.39;1.41;0.23;1.97;1.18;
0.35;2.03;1.34;1.87;0.44;
0.09;1.04;1.06;0.88;0.92;
0.66;2.08;1.94;1.11;0.95;
1.36;1.96;1.44;0.43;1.92;
0.94;1.57;2.11;0.42;1.24;
2.25;0.82;0.91;1.56;0.80;
1.88;1.86;1.95;2.25;1.59;
2.36;1.58;2.00;2.29;1.01;
0.65;2.03;2.53;2.43;2.18;
2.58;1.41;0.04;0.94;2.54;
1.27;0.54;1.93;2.15;2.46;
0.50;0.51;2.42;1.28;2.04;
1.22;2.13;1.81;2.64;0.22;
1.89;0.28;1.85;2.63;1.62;
2.87;1.05;2.72;2.97;2.89;
2.29;2.45;2.59;2.27;2.11;
0.38;2.81;1.74;3.05;1.42;
2.60;0.95;2.75;0.90;2.96;
0.47;2.95;0.22;2.81;0.88;
3.16;2.77;1.37;0.63;2.10;
0.54;0.07;3.22;2.96;2.14;
2.02;2.49;1.86;2.74;2.89;
1.54;0.88;1.67;2.39;1.32;
3.53;1.26;1.90;0.95;2.92;
3.50;2.05;3.38;3.50;2.65;
3.25;2.85;3.06;3.51;3.24;
1.61;3.59;1.09;1.14;1.72;
2.95;0.44;3.41;2.30;3.71;
1.94;3.84;3.27;1.15;3.12;
4.68;3.59;3.44;3.30;3.36;
0.69;3.48;3.53;3.75;3.77;
0.49;2.51;2.38;4.04;2.31;
1.91;2.19;2.60;0.97;3.55;
